,Location ID,City,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
260,LOC_5,Chennai,Pallikaranai,Naturals Salon,"38, Velachery Bypass Rd, above Dindukkal, Vijaya Nagar, Velachery, Thalapakati, Chennai, Tamil Nadu 600042, India",12.9774436,80.2192512,4.8,2034,ChIJq7BiIZBdUjoRkjOu4SwVNa0,https://www.google.com/maps/place/?q=place_id:ChIJq7BiIZBdUjoRkjOu4SwVNa0,Chennai PallikaranaiNaturals Salon
262,LOC_7,Chennai,Pallikaranai,Naturals Salon,"PTC, Bus Stop, 4 690, Rajiv Gandhi Salai, Chandrasekhar Avenue, Chennai, Thoraipakkam, Tamil Nadu 600097, India",12.9336606,80.2325268,4.4,1555,ChIJu2pBXv5cUjoRJ71srztNebM,https://www.google.com/maps/place/?q=place_id:ChIJu2pBXv5cUjoRJ71srztNebM,Chennai PallikaranaiNaturals Salon
263,LOC_8,Chennai,Pallikaranai,Naturals,"VGP Rajesh Nagar Park, No.8, Velachery Rd, Narayanapuram, Pallikaranai, Chennai, Tamil Nadu 600100, India",12.9464694,80.2084642,3.6,98,ChIJhbOICDdeUjoRTKDdJNSdE-U,https://www.google.com/maps/place/?q=place_id:ChIJhbOICDdeUjoRTKDdJNSdE-U,Chennai PallikaranaiNaturals
272,LOC_4,Chennai,Perungalathur,Naturals Salon,"No 9, Ramachandran Main Street RK Nagar, above Fasta Pizza, Alapakkam, New Perungalathur, Chennai, Tamil Nadu 600063, India",12.889372,80.1157192,4.9,53,ChIJ2zZIX91ZUjoR_wIgO4bHBYs,https://www.google.com/maps/place/?q=place_id:ChIJ2zZIX91ZUjoR_wIgO4bHBYs,Chennai PerungalathurNaturals Salon
274,LOC_2,Chennai,Perungudi,Naturals Signature perungudi,"74, Church Rd, above Nilgiris Super Market, Phase-1, Tirumalal Nagar, Perungudi, Chennai, Tamil Nadu 600096, India",12.9617425,80.2434612,4.7,371,ChIJGU34ybRdUjoRsa1guJtq2Sw,https://www.google.com/maps/place/?q=place_id:ChIJGU34ybRdUjoRsa1guJtq2Sw,Chennai PerungudiNaturals Signature perungudi
278,LOC_6,Chennai,Perungudi,Naturals Salon,"E Mada St, Lalitha Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041, India",12.9858366,80.26208659999999,4.7,2408,ChIJdcnEb1ldUjoRDiwQM4oAPEU,https://www.google.com/maps/place/?q=place_id:ChIJdcnEb1ldUjoRDiwQM4oAPEU,Chennai PerungudiNaturals Salon
280,LOC_8,Chennai,Perungudi,Naturals Salon,"1st Flr, Jeeva Cplx, No 581/A, 200 Feet Radial Rd, near 200 Feet Radial Road, Vinayaganagar, MCN Nagar Extension, Thoraipakkam, Chennai, Tamil Nadu 600096, India",12.9497189,80.23456350000001,4.0,960,ChIJN7i-LAddUjoRFhuyFqdLBNQ,https://www.google.com/maps/place/?q=place_id:ChIJN7i-LAddUjoRFhuyFqdLBNQ,Chennai PerungudiNaturals Salon
281,LOC_9,Chennai,Perungudi,Naturals Salon & Spa Velachery,"Sri Balaji Complex, 52, Velachery Rd, Dhadeswaram Nagar, Velachery, Chennai, Tamil Nadu 600042, India",12.9823166,80.2215873,4.5,1993,ChIJH0FMN5ddUjoRJOS0dFBFnns,https://www.google.com/maps/place/?q=place_id:ChIJH0FMN5ddUjoRJOS0dFBFnns,Chennai PerungudiNaturals Salon & Spa Velachery
296,LOC_1,Chennai,Pudupakkam,Naturals Salon,"1st Floor, Shop No 1, Plot No 14, M.R Radha Rd, above HDFC Bank, Pudupakkam, Chennai, Tamil Nadu 603103, India",12.821405,80.20391339999999,5.0,252,ChIJP4Mohb1bUjoRoRshJPRqc4g,https://www.google.com/maps/place/?q=place_id:ChIJP4Mohb1bUjoRoRshJPRqc4g,Chennai PudupakkamNaturals Salon
302,LOC_1,Chennai,Rajajipuram,Naturals Salon,"No 3, Shiva Vishnu, Koil St, opp. Shree Niketan Matriculation School, Rajajipuram, Tiruvallur, Tamil Nadu 602001, India",13.119172,79.908624,4.6,805,ChIJQe7L3XuRUjoRhDxO-KCDVY8,https://www.google.com/maps/place/?q=place_id:ChIJQe7L3XuRUjoRhDxO-KCDVY8,Chennai RajajipuramNaturals Salon
